role_competency_id,role_id,competency_id,proficiency_level,is_required
627375e6-ec1a-485c-8727-bdcb16bb9807,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,36b482bd-e906-4f1d-a68e-bd06e971968b,Required,True
072ce704-b2ec-463f-8025-37ce8c132531,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,af5cf126-e854-4bc9-9aae-6984814ff5cc,Required,True
206c2857-15a8-4017-8004-920ebfb738f9,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,94c69870-97e3-4999-9b3d-3f331d693c8e,Required,True
7bd28d58-838f-467a-b35e-2e78a9e5b887,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,cb8236f1-d6af-4ebb-bf52-56385977aec6,Required,True
a23ef65f-c289-4281-b4ac-8f077fb86ada,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,8dafc647-46f2-4cb1-9ea6-f2dbdd29c238,Required,True
9380a97d-271b-4d0e-82da-d35b61f3f4a1,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,a8e8e96e-17d9-4dbc-8cc1-273810a6fb08,Required,True
82cccc27-80f8-488f-b772-07b8d79bd716,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,f7fc25f0-c9c7-483b-8516-7a148d1f635e,Required,True
42ae47d6-8793-4c04-8cb5-1393666e9ca6,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,8218e065-6610-4a29-b085-428ba0d48e38,Required,True
a7baf845-60d3-4fd0-a92a-f5595e1fb3df,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,c0fbcfa1-3e18-42ac-80a7-61ba2fb0fd35,Required,True
aeb0d712-7720-4dac-b009-274a64b97a64,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,31dd8e12-7b5b-4d99-ab99-e3c0285c472b,Required,True
02756299-ce14-4d89-9121-2190bb0f3c23,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,f38c1cd1-5c75-414e-86b0-855aecc1ebf0,Required,True
d8aa18ee-26d1-40dc-9ae1-7fe9640fe42c,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,8f379294-383f-4d7a-b2bd-970fbeb2b3e4,Required,True
3b5c3572-3d49-4785-8cb0-307df020677c,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,1950db56-860a-4cf5-98c1-131f0fbc71ab,Required,True
ccb58e40-3679-4821-b9eb-803475f7cc86,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,7c77ae2b-d3ac-4110-955a-87ef00dedf06,Required,True
70d5fbd7-54fd-4e08-8b19-bfaf776a8973,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,67c51ee0-9f67-4e04-8ff7-6427395e5e75,Required,True
7b02eec2-bb93-4e80-888c-0f8372d673eb,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,1baaea67-f111-4752-9e89-6ef9af51053c,Required,True
9c865336-a768-49da-abce-cb22d12a0ca5,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,abbc66eb-963c-4c55-962f-2c9d45d61052,Required,True
be613888-8898-4646-b51c-859d0580ae7f,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,9ee3c445-7a52-43f3-b43b-569f368d8c9f,Required,True
e197b000-f061-480a-975f-92646729b4d5,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,9c6b4e39-12fb-4749-a498-8dba779af4a0,Required,True
ca5f9b4b-27d5-4130-a843-8131849ee6d7,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,c3cfe30e-19f0-4702-a359-2f99cb0ccde3,Required,True
3e890ac8-990d-4fd1-90b5-ef3774db0b4e,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,33c71dee-8a5e-48db-b052-e077d045c746,Required,True
717b91ba-45a7-4f58-ad80-8418f5cb00bc,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,988609ae-5894-45da-a9aa-bcc12d43d86a,Required,True
071b7a1a-52ee-420a-863e-a5010176dc1e,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,a51ed6c3-01f7-49b0-a955-8640fd7d2497,Required,True
d19b58ff-33d2-4899-b98a-2c657d0171dd,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,bc8e6f81-cc83-4b4a-bb0e-7842fed2be01,Required,True
6b39e2af-2751-482f-983b-b55ee672f3a9,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,a84266e4-4e57-40e9-b1ba-ba3f4854fcc7,Required,True
cb1615ee-562d-436d-b7a1-6a7997e3e908,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,e8ba1888-8025-43e5-b9cf-dcd593d3fca3,Required,True
809cb2e7-dfc5-4cfe-9157-7f1d89fb0fdf,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,51bfb15d-f6cb-42b2-8a8e-9072bc30b738,Required,True
33970ff8-3a50-4c53-bb85-2fa99ae856f6,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,1e7ed9ef-3e37-4fc7-8bc8-0e59c7f3784e,Required,True
e7aecd77-b634-44fd-bad0-520560f499d0,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,e20cad11-8353-42ea-a9ee-ea452fea1402,Required,True
88f40a4e-e2a9-4193-916a-c41073290324,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,dfa81988-7292-4561-a56c-249157aa7c1b,Required,True
3a20cc73-b685-4ed4-a482-3668677026fb,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,386675b8-6d71-4d58-aea4-a362708b870f,Required,True
06779436-14ff-45e7-a07f-56f5fc9f70e2,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,c6085939-c0e9-4e1b-b7b8-b35c574f9363,Required,True
a473097b-84da-4e7e-bebe-21c4141cd5b0,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,daecbb43-055e-4a1d-b2f3-8e21da82cd83,Required,True
7d20d296-7fc4-468f-95dc-014dfa2b546b,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,c21f588b-27ca-4f61-908d-bb8ba829e7a4,Required,True
d0b4bba9-d2d2-4140-b205-cba5c555d7c7,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,3b281be3-b235-4efd-87b7-dde55e5cf924,Required,True
8f9a6cbc-0d9c-4ae2-a830-d10b20577671,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,cc2a38eb-3224-4a05-9b72-b37fedd2333e,Required,True
2f9baf0e-cb5c-4414-8cbc-ffe6756ddda5,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,b78d3bcd-ae83-44a2-a42c-1d0b615ab63b,Required,True
7338ed38-49c9-4826-8528-4c5793004abf,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,3018cbac-a447-402e-b8d5-9425de4b8b62,Required,True
4bb865da-719d-4892-90ed-9783fbacc650,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,49840a6e-2d5a-4f15-a490-1f9859d1a064,Required,True
b05c9f8b-1d23-4d61-8048-5fee3e2d8a40,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,5abd0e48-14cb-4c73-b8c2-6692bf9cf9a4,Required,True
7b8589a8-47da-4c98-b111-97f38f2868fe,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,ab9eb021-6f1d-4e10-b6bf-d791d49b9ed4,Required,True
c833cd7d-38a2-444f-8186-73c2edadec61,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,e3008674-18d4-4bb6-a2bf-1545a798fea1,Required,True
7d955a6b-4a3e-4cce-8a7c-c173ac0c38be,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,3d9b1815-54ad-4537-9f90-40b981dd526f,Required,True
bb243aea-356d-4686-b315-a87f9a697b5a,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,bc70bf5b-ae75-4584-af33-dead72520f3c,Required,True
c7f80a73-4bed-480a-88ff-923e2d75e58c,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,4bbb0816-2515-4957-99d1-b99595dec2a4,Required,True
e03f3f6d-d065-48e7-954b-7bfe00a3887e,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,1ad79480-15bd-4089-8ed7-bde8a8801d9f,Required,True
5f5a6b32-4284-4b67-bab9-489a4019774d,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,a3e93211-cf9f-41b4-88e8-75c8a1878e90,Required,True
ddb43689-3b69-4c75-a3a9-35970f9d92af,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,f5d4c0a8-9bc2-4c8e-a624-388728f05210,Required,True
b630076d-10ba-4991-bfdf-5f70ac0eff22,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,acd530ff-1609-4c1d-87f0-f574b7db73a6,Required,True
d7d720f5-11a0-4ae3-839e-bb338932c207,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,bd71367e-2186-4bab-a9d8-01a1d4e0386a,Required,True
189fb4f9-8e38-4bbe-9f39-0ed2ca5503e6,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,bff11b6b-7700-4c15-a125-02ead3b36163,Required,True
024e20b1-0a70-402d-9ff2-155eb3c23ed5,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,76a00b00-7175-457f-8cf9-aee4afcb4125,Required,True
cbd2d5ba-17da-4cb9-b1fe-734bab4bce83,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,2413d220-b8d6-417b-be27-66ab742dbe1c,Required,True
a0e8d214-7f21-4ef0-8c46-ffeee4fb3edd,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,92641a6a-15c0-4d91-a0b0-f921a80fc0a3,Required,True
ac263e34-6ac9-4d5e-a163-55e3c592e0e3,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,993f51b9-29c4-4875-ab61-02b16b4d7c07,Required,True
782d6846-ad1c-4618-ad05-7b827cfbfb54,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,4ee88a16-d86b-4d91-a9da-64f5ab2e08f3,Required,True
7a3e5817-7c86-461a-8ec4-2b4dce47ee74,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,a078626a-8892-4e43-81d9-0ea323aa8583,Required,True
7df8445d-d36c-485a-a55b-99e722ee823b,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,46ca9b4e-5b5d-48e8-b1e8-487354cf8a11,Required,True
99761ecd-7760-4f3d-83d9-db874c28cc07,a9ce90de-f5a2-46ac-a12a-4e8ab7fa4027,6f505dd8-ef43-47ae-ba4a-7d02695221c8,Required,True
